index,x,y,z
237,0.009674,-0.151733,-0.992203
238,0.002823,-0.1436,-0.987854
239,0.007233,-0.147827,-0.979126
240,0.005661,-0.154633,-0.987671
241,0.001236,-0.146149,-0.98317
242,0.010178,-0.150589,-0.98465
243,0.004745,-0.147827,-0.99733
244,0.004135,-0.142654,-0.98378
245,0.008774,-0.153091,-0.982834
246,0.001602,-0.149536,-0.986786
247,0.005173,-0.150024,-0.980896
248,0.008057,-0.151718,-0.991867
249,0.002228,-0.142273,-0.991791
250,0.007721,-0.147873,-0.982193
251,0.004852,-0.147781,-0.985977
252,0.000824,-0.149094,-0.982056
253,0.007965,-0.153168,-0.981171
254,0.004471,-0.146454,-0.99382
255,0.005722,-0.146637,-0.985764
256,0.007004,-0.148117,-0.9814
257,0.002274,-0.147125,-0.98584
258,0.003677,-0.152313,-0.980331
259,0.005692,-0.149933,-0.986298
260,0.005463,-0.148468,-0.990479
261,0.006851,-0.148178,-0.985977
262,0.006424,-0.144501,-0.986771
263,0.004532,-0.151718,-0.986038
264,0.004074,-0.15184,-0.981125
265,0.005051,-0.147934,-0.987244
266,0.006912,-0.151581,-0.993011
267,0.003937,-0.143829,-0.986847
268,0.006851,-0.146942,-0.986145
269,0.00351,-0.151306,-0.986725
270,0.002731,-0.145691,-0.981049
271,0.00705,-0.152969,-0.987381
272,0.004257,-0.148453,-0.993027
273,0.006378,-0.142731,-0.985306
274,0.007339,-0.151337,-0.987167
275,0.001938,-0.14653,-0.981339
276,0.006454,-0.150238,-0.979416
277,0.005707,-0.152771,-0.994141
278,0.003723,-0.143829,-0.987762
279,0.01033,-0.147675,-0.983551
280,0.003006,-0.147995,-0.988922
281,0.003723,-0.146866,-0.97757
282,0.007812,-0.154068,-0.985168
283,0.002243,-0.147568,-0.993546
284,0.006241,-0.145096,-0.984756
285,0.009781,-0.148773,-0.990448
286,0.001251,-0.144669,-0.992142
287,0.005264,-0.150909,-0.976425
288,0.005798,-0.153656,-0.98494
289,-0.000229,-0.147339,-0.989014
290,0.008408,-0.147507,-0.982941
291,0.006653,-0.145187,-0.992264
292,0.003922,-0.146927,-0.983704
293,0.008774,-0.152939,-0.973938
294,0.002777,-0.148636,-0.98497
295,0.003769,-0.151413,-0.987015
296,0.007996,-0.148438,-0.986801
297,0.004425,-0.144211,-0.99205
298,0.005173,-0.148163,-0.98288
299,0.00589,-0.149506,-0.979248
300,0.002701,-0.149933,-0.98465
301,0.005569,-0.152496,-0.985016
302,0.005569,-0.145508,-0.986008
303,0.004135,-0.144882,-0.990662
